,document,expertise
966,Assist to design and maintain an effective internal control environment for financial records and including ensuring accuracy of financial accounts and information related to Google Ensure risk assessment and control frameworks are in place and and running effectively and efficiently Design and execute control testing to address audit assertions Interpret the significance of control audit findings and draw analytical conclusions from audit data and and promote recommendations Effectively communicate with and and educate process owners (including engineering and other non-finance people) on the importance of controls and an effective control environment and and the role of the Revenue Accounting SOX team,"CPA/CA/CIA or related experience, Proven ability to adapt and excel in a constantly evolving environment"
967,Google interns are given a lot of responsibility and the opportunity to make a meaningful contribution to their teams. Specific responsibilities are assigned to interns at the start of the program.,"Analytical skills and an interest in taking on business challenges, Interest in the Internet and Google's technology business, Effective interpersonal and organizational skills and with the ability to navigate an ambiguous environment"
968,Design and document internal controls and processes and policies and procedures and ensure SOX compliance. Maintain phenomenal relationships with business partners and accounting peers to address reporting needs. Prepare accounting schedules routinely and and as requested and for internal and external reporting requirements. Interpret various terms in the business plans to determine accounting implications and apply technical accounting guidance. Handle revenue accounting issues for hardware including multiple element arrangements and subscription revenue and and revenue recognition and deferred revenue related to the Alphabet business unit's products.,"Enthusiasm for and a proven ability to work in a crossfunctional and fastpaced environment and and to lead and drive complex initiatives, Excellent communication and organizational skills with exceptional attention to detail and follow through"
969,Take responsibility for ensuring the financial accuracy of the global Cloud business through the performance of revenue and accounting analyses during monthly accounting close. Record journal entries and track performance of account reconciliations. Perform stand-alone selling price (SSP) analysis on a quarterly basis to ensure that SSP is properly defined and maintained by product area and customer type and region. Perform linked deals analysis to ensure multiple-element arrangements (MEA) are properly accounted for. Perform ad-hoc accounting projects as required in order to support the accounting of revenue and cost of sales for cloud and in accordance with US GAAP.,Precise and detailoriented organizational skills
970,Google interns are given a lot of responsibility and the opportunity to make a meaningful contribution to their teams. Specific responsibilities are assigned to interns at the start of the program.,"Analytical skills and an interest in taking on business challenges, Interest in the Internet and Google’s technology business, Effective interpersonal and organizational skills and with the ability to navigate an ambiguous environment"
971,Assist in the prioritization and delivery of diverse employment tax projects; analyze large data-sets and summarize data to meaningful reports for stakeholders and perform complex payroll tax calculations. Ensure Auditor’s requests are responded to in a timely manner including reconciliations and data retrieval and analysis of relevant tax matters and and coordination with internal stakeholders and local in-country experts. Coordinate with internal stakeholders on employee programs and initiatives while working with local country experts to develop tax positions to ensure compliance to local tax and reporting regulations. Work with regional network of employment tax consultants to ensure we receive timely tax advice and excellent service and support. Maintain records and documentation and and develop processes and procedures with a focus on continuous improvement and automation.,"Knowledge of employment tax in UK and/or Ireland and other EMEA countries, Flexibility to changing task priorities and work situations, Detail oriented and with excellent analytical skills and ambitious and selfmotivated with an interest in international payroll and employment taxes"
972,Google interns are given a lot of responsibility and the opportunity to provide a meaningful contribution to their teams. Specific responsibilities are assigned to interns at the start of the program.,"Interpersonal and organizational skills and with the ability to navigate an ambiguous environment, Interest in the technology industry and Google’s business"
973,Design and implement and manage global processes for the accounting of consumer hardware revenue and including contra-revenue accruals and sales allowance and deferred revenue and and the related balance sheet reconciliations Prepare and present financials for our product area related to month-end close as well any ad hoc requests from FP&A and the business and product teams Identify opportunities and implement programs to centralize and eliminate and automate or outsource activities. Work with outsourced providers to outsource established or mature processes and manage ongoing activities Partner with our team as well as engineering and business partners and as needed and to define and establish and implement accounting systems and processes and procedures Review and provide feedback to ensure we are mitigating risk for Google and work through accounting implications and confirm we can operationally support business agreements,"Consumer hardware industry experience, Public accounting experience as well as industry experience in an operational accounting role, Strong working knowledge of U.S. GAAP and with a focus on revenue recognition, Proven ability to work in a collaborative and crossfunctional and fastpaced environment and to drive complex operational initiatives"
974,Manage our Payments Compliance AML Operations team focused on various AML processes. Monitor the health of our AML Operations and including producing metrics and management reporting to Head of Compliance Operations and other key stakeholders. Handle priority escalations and which will require interfacing with multiple functional areas and using diverse tools to investigate cases and acquire information. Interface with multiple functional areas to develop and/or enhance our compliance systems and processes and including Compliance Policy and Engineering and Legal and Operations and Finance and Product Management. Develop and/or enhance training manuals for Compliance Operations Analysts and present AML processes to auditors (internal and external) and regulators upon request.,"Strong knowledge of payments compliance regulations (e.g. AML and KYC and Sanctions), Analytical and investigative skills combined with the ability to navigate through ambiguity in a fastpaced and dynamic environment"
975,Execute trades for the internal investment grade corporate portfolio while ensuring compliance with investment guidelines and regulations. Cultivate and maintain relationships with counterparts to support Alphabet’s access to liquidity. Collaborate closely with Portfolio Management and in-house Credit Research team to identify and incorporate investment ideas. Identify relative value opportunities across and within sectors and provide key market color to team and management. Generate analytical reports to aid in portfolio management and compliance and reporting and performance attribution.,CFA certification
976,Manage local accounting and statutory reporting and compliance matters within Taiwan and identifying any gaps between U.S. GAAP and local compliance requirements Key point of contact for any accounting and compliance issues related to the entities you manage Work with external auditors and advisors and and be responsible for accurate and timely completion of local statutory audits and tax and other statutory filings. Proactively identify issues and keep manager informed in a timely manner Coordinate with internal and external business partners (including outsourcing service provider) to improve processes and ensure appropriate policies and controls are in place Work with the local and regional and global teams on projects and as needed,"Proven ability to work in a crossfunctional and fastpaced environment and to lead and drive complex operational initiatives, Attention to detail and and excellent organizational and interpersonal and analytical and communication skills"
977,Intern projects will be determined based on the experience and skills and interests of the student. If you are interested in a particular area and please make sure to include it in your resume.,"Demonstrated interest in the Internet and Google's technology and business, Ability to operate as a selfstarter and independent thinker"
978,Lead cross-functional accounting projects; define and implement and maintain processes and procedures to support Alphabet governance requirements while balancing Bet-specific needs Influence executives and stakeholders to close gaps in control frameworks and develop scalable solutions Identify and create and measure process and control improvements that automate or outsource manual work and consolidate bespoke processes and and scale with Alphabet’s rapid growth Work with Alphabet and dedicated Bet Finance teams to evolve the Finance support model for Other Bets and and provide input into the definition of roles and responsibilities and processes between Bet teams and various Alphabet Stewardship functions,"Experience in technical accounting roles, Experience with Oracle ERP and Hyperion (or implementing a new ERP), Proven ability to work in a crossfunctional and fastpaced environment and lead and drive complex initiatives, Excellent oral and written communication skills. Experience engaging with and crafting communications for busy executives"
979,Provide thoughtful leadership and influence executive-level decision making through deep analytical insight into core business decisions and such as prioritization of opportunities and resource allocation decision support. Structure and communicate complex and ambiguous and potentially challenging business issues to advise and challenge the relevant business leadership teams. Build a strong network across sales and finance and product leadership and as well building a team of analysts across sales and operations and finance to take on a wide range of analytical and operational questions. Leverage Google’s big data to drive scalable analysis of business growth drivers and trends. Craft and present sophisticated quantitative analyses to translate complex data into actionable insights. Serve as an effective steward for Google's overall and long-term interests and including making resourcing recommendations to drive productivity gains. Develop headcount and associated budgets for the GMS Acquisition teams based on optimal resource allocation across markets and channels. Create and cultivate the financial discipline to ensure delivery against these budgets.,"Significant financial and commercial business partnering experience in technology and advertising or media industries, Ability to adapt and excel in a constantly evolving environment, Effective analytical skills and combined with impeccable business judgment"
980,Identify financial and operational and compliance and and reputational risks through assurance and consulting and and solutions management activity. Work closely with leaderships teams to manage environments that enhance and protects organizational value. Design and execute financial and operational and compliance audit programs to address relevant risks. Prepare reports to document audit scope and procedures and findings and recommendations; interpret the significance of audit findings and conclude on findings and make practical recommendations for remediation. Assess new or changes to existing processes to identify financial or operational risks before launch and recommending; Effectively communicate with and educate process owners and including non-finance individuals and on the importance of controls and an effective control environment and and the role of Internal Audit improvements.,"CPA/CA/CIA certification or equivalent practical experience, Effective leadership and communication and interpersonal skills"
981,Influence decision making through clear analytical insights and recommendations into drivers of business growth and product trends and risks and efficient use of resources. Partner with business leaders to identify and analyze the key drivers of opportunities and risks in their respective area and provide decision support through ad-hoc analysis. Develop ways to describe and measure and communicate EMEA financial performance to regional and global Finance leadership. Innovate to build or improve global processes and reporting tools.,"Experience in identifying opportunities for business improvement and defining and measuring the success of initiatives, Organized and strategically focused and selfstarter and with the ability to deal with ambiguity in a fastpaced environment"
982,Google interns are given a lot of responsibility and the opportunity to give a meaningful contribution to their teams. Specific responsibilities are assigned to interns at the start of the program.,"Interest in the technology industry and Google’s business, Demonstrated critical thinking skills and independent motivation"
983,Intern projects will be determined based on the experience and skills and interests of the student. If you are interested in a particular area and please make sure to include it in your resume.,"Demonstrated interest in the Internet and Google's technology and business, Ability to operate as a selfstarter and independent thinker"
984,Innovate new business solutions and processes and and industry standards using financial technology to transform the status quo in all areas that Treasury operates in. Identify financial technology-related trends and understand implications to Alphabet and deliver recommended action plans to management. Lead execution on financial technology-related projects; define new opportunities and implement new technology solutions/initiatives. Work collaboratively across the Treasury and Engineering team to develop and implement new financial technology systems. Collaborate across Treasury to drive operational enhancements to Treasury’s activities including the investment portfolio and foreign exchange and cash management and payments and corporate finance.,"Demonstrated ability to perform a variety of complex tasks in a fastpaced and team environment, Effective business judgment and problem solving and quantitative and analytical skills"
985,Work closely with Finance Management and their teams to understand their information needs and ensuring that BI solutions are an excellent fit for their evolving needs and and help to develop their related skills capabilities. Manage and drive and deliver multiple BI work-streams and both on an ongoing and adhoc basis. Work with Engineering partners to help shape and drive the development of Google’s BI infrastructure including data warehousing and reporting and analytics platforms. Contribute to the development of the BI team’s tools and skills and culture and impact for Finance and for Google.,Knowledge of commercial and emerging reporting tools and technologies (e.g. Tableau and QlikView and Microstrategy and Business Objects and Cognos and D)
987,Network across Google. Build strong relationships with stakeholders and develop sourcing strategies which help support their business. Identify opportunities for increased competitive bidding and smarter supplier relationships and more efficient processes. Collaborate with teams across the globe to speed up innovation. Know the supply market (or have the research skills to be able to come up to speed quickly) in order to educate stakeholders and make better decisions. Manage robust supplier selection processes using market analysis and concise request for proposals (RFPs) and eAuctions and a data driven approach.,"Experience in supplier sourcing and eAuctions, Excellent communication and presentation skills"
988,Collect and analyze data to assist in the evaluation of allegations of fraud/irregularities. Apply forensic auditing techniques to identify atypical transactions and deals or behavior Lead fact-finding and admission seeking interviews. Prepare interview notes & summaries Draft concise and timely investigation reports for management Identify and define process & control issues and root causes and provide effective recommendations to business to prevent future issues Analyze investigation data to identify trends to be escalated to senior management and the audit committee,"Forensic accounting or investigative experience and including CPA and/or CFE credentials, Experience with interview techniques for both fact findings and admissionseeking interviews, Ability to independently drive multiple investigations to resolution and handle a large workload"
989,Partner with non-Ads related leaders/management for each segment of Google’s customer care organization and commonly referred to as Google Technical Services. Manage business planning and analytics and reporting. Help drive monthly and quarterly and annual financial planning cycles. Drive visibility into business performance and resource planning decisions. Define and evaluate plans to improve customer satisfaction while containing costs. Define and implement metrics and reporting tools in order to provide meaningful insights into each area’s performance. Partner with the Product Finance teams and offer insights into the trajectory of user-care costs.,"CPA/CFA qualification, Distinctive problem solving and analysis skills, Ability to selfdirect and to work independently in an unstructured environment. Ability to comfortably deal with ambiguity"
990,Google interns are given a lot of responsibility and the opportunity to provide a meaningful contribution to their teams. Specific responsibilities are assigned to interns at the start of the program.,"Interpersonal and organizational skills and with the ability to navigate an ambiguous environment, Interest in the technology industry and Google’s business"
991,Intern projects will be determined based on the experience and skills and interests of the student. If you are interested in a particular area and please make sure to include it in your resume.,"Demonstrated interest in the Internet and Google's technology and business, Ability to operate as a selfstarter and independent thinker"
992,Use Google’s big data (and knack for the creative) to architect metrics and solve problems and and influence executive decision-making. Develop new tools in order to drive scalable analysis and insight. Lead decision making on investment strategies for products and identification of key market drivers for business generation and business profitability and and resource allocation.,"Strong ability to turn data into actionable insights, Impeccable business judgment and with the ability to motivate colleagues and collaborate effectively to help influence senior leadership, Excellent quantitative and written and and presentation skills; innovative and organized and thorough. Eagerness to further develop these skills"
993,Manage outsourced operational activity and including Service Level Agreements and performed by third-party vendors. Analyze monthly financial data and make sure all monthly activity has been recorded and reconciled. Provide financial results and analysis to senior management. Ensure tax and Sarbanes-Oxley and and local entity compliance. Assist in preparation of monthly and quarterly and annual close presentations for Accounting and Controls management to include preparation of Month-over-Month and forecast to actual analysis. Provide support to finance management and other internal customers as needs arise and including ad-hoc financial analysis and special projects.,"Experience with Oracle ERP and Hyperion, Experience with process improvement and proficiency with spreadsheet and presentation software, Proven ability to work in a crossfunctional and fastpaced environment and lead and drive complex initiatives"
994,Execute and provide input on FX hedging strategies trading foreign currency derivatives with global banking partners. Generate and present in-depth data driven market intelligence for the provision of relevant analysis of ideas and events. Carry out currency pair analysis and modeling with quantitative background to apply to periodic market forecasting framework. Work with dedicated teams of internal and external Treasury Specialists to support the implementation of Treasury Management System solutions. Collaborate with designated FX teams on allocated projects requiring communication and presentation skills.,Excellent spreadsheet software and analytical/quantitative and organizational skills as well as a demonstrated capability of handling multiple ad hoc requests simultaneously
995,Google interns are given a lot of responsibility and the opportunity to provide a meaningful contribution to their teams. Specific responsibilities are assigned to interns at the start of the program.,"Interpersonal and organizational skills and with the ability to navigate an ambiguous environment, Interest in the technology industry and Google’s business"
996,Model and develop optimal investment strategies for various fixed income portfolios and including determination of appropriate asset classes given risk and return tradeoffs and objectives and strategic asset allocation targets and evaluation of new asset classes. Develop and maintain investment policies and investment guidelines for all portfolios. Manage external investment managers including due diligence and monitoring and evaluation and and ongoing dialogue on investment strategy and performance and attribution and compliance. Measure and assess portfolio performance and conduct attribution analysis and report results to senior management. Establish and maintain sound risk management practices for portfolio management and including setting appropriate risk constraints and stress testing and backtesting portfolios and and assessing appropriateness of trading protocols.,"CFA charter holder, Experience in a portfolio strategist role"
997,Analyze monthly financial data and make sure all monthly activity has been recorded and reconciled. Provide financial results and analysis to senior management. Ensure tax and Sarbanes-Oxley and and local entity compliance. Assist in preparation of monthly and quarterly and annual close presentations for Accounting and Controls management to include preparation of Month-over-Month and forecast to actual analysis. Provide support to finance management and other internal customers as needs arise and including ad-hoc financial analysis and special projects.,"Experience with process improvement and proficiency with spreadsheet and presentation software, Experience with Oracle ERP and Hyperion, Proven ability to work in a crossfunctional and fastpaced environment"
998,Lead a diverse team of senior people leaders and contractor relationships responsible for global operations across sales bonus and time tracking and and core payroll. Maintain strong business relationships with upstream and downstream partners and stakeholders to ensure end-to-end processes are well-thought out to address customer and regulatory requirements. Work closely with Legal and Compliance and and Benefits teams to identify and resolve and and avoid payroll compliance issues. Set and execute upon comprehensive strategies with stakeholders to achieve higher degrees of quality and controls and and efficiency. Establish and set operational strategy for owning all operating and SOX controls within team. Prioritize and drive diverse and complex projects including outsourcing and organizational transformation.,"Experience working in shared services or outsourced environment, Excellent communication and presentation skills and and proven coaching skills in a transactionoriented work environment"
999,Develop strategies and business plans to align APAC on global and regional business initiatives requiring employment tax support to address risks and opportunities Provide leadership and management over all APAC region employment tax audits either directly and or through outside tax consultants. Engage stakeholders to ensure impact of audits are properly vetted for risk and negotiated to agreeable resolution and sustained compliance Provide employment tax advice and coordinate with internal stakeholders on all benefit and perk programs and M&A and new programs and and payroll initiatives to develop tax positions to ensure compliance to local tax and reporting regulations while also supporting business needs Develop a local employment tax team to work on a variety of tax projects and assist with other unique tax projects in conjunction prioritization of projects and making best use of resources Manage regional network of third party employment tax consultants to ensure we receive timely tax advice and great service and support at competitive rates,"Experience in application of employment tax law or mobility tax support in APAC region, Good judgment in selecting methods and techniques for achieving results, Detail oriented and analytical skills and ambitious and selfmotivated with a strong interest in international payroll and employment taxes, Adaptable with demonstrated flexibility to changing task priorities and work situations"
1000,Manage financial reviews and approval for a subregion and focusing on particularly for GCP and G Suite products. Work with Deal Desk and Sales teams to structure financial agreements. Summarize financial outlook for the client and reflecting key components of the financial agreement and partnering with sales and sales operations and legal teams. Analyze drivers of business performance as part of business reviews and ad-hoc projects. Provide insights on key business dimensions such as products and verticals and regions and customers segments and partners and customers volume/value. Define and track key metrics to support decision-making. Forecast business development (short term and long term); contribute to strategic goal setting and monthly forecasting process.,"Experience working with large datasets, Knowledge of the tech industry, Ability to communicate and influence effectively, Strong analytical and modeling skills"
1001,Provide management with clear insights and recommendations into drivers of revenue and market trends and risks and and opportunities leading to revenue enhancing sales and product actions. Engage in deep dive analyses to understand business performance and and provide concise summaries and recommendations to management. Support critical financial planning processes such as revenue forecasting and sales target setting and and sales performance evaluations. Identify new business opportunities to increase revenue performance.,"Advanced proficiency with spreadsheets; familiarity with SQL and analytical experience working with large volumes of complex data, Distinctive problem solving and analysis skills"
1002,Hire and coach and drive a high performance team to deliver against assigned goals while prioritizing an outstanding customer experience to customers and prospects. Work with the team to ramp up adoption in the late cycle. Create activities (e.g. identifying and handling key customer technical questions and objections) and develop the strategy to resolve technical impediments and scoping out migration workloads. Take responsibility for technical aspects of solutions to include such activities as managing product and solution briefings and proof-of-concept work and and the coordination of supporting technical resources. Prepare and deliver product messaging in an effort to highlight Google Cloud Platform value proposition using techniques to include whiteboard and slide presentations and product demonstrations and white papers and trial management and documents. Make recommendations on integration strategies and enterprise architectures and platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness.,"Understanding of solution architecture within web and mobile environments and technical experience of web/internet related technologies and architecture across SAAS and PAAS and IAAS and competitive cloud productivity suites, Passion for Google Cloud products (G Suite and Google Cloud Platform). Ability to effectively operate with enthusiasm and flexibility in a fastpaced and constantly evolving team environment"
1003,Manage journal entries and General Ledger account analysis and reconciliations. Analyze financial information and prepare financial reports. Manage and improve efficiencies for various operational tasks including the following: billing data management and invoice generation and payment application and customer inquiries. Handle hardware accounting challenges including multiple element arrangements and other deferred yield relating to Nest products. Interpret various terms in the business contract to determine accounting implications and apply accounting guidance.,"Demonstrated ability to work in a crossfunctional and fastpaced environment and and to lead and drive complex initiatives, Excellent communication and organizational skills and with exceptional attention to detail"
1004,Review monthly financial data and make sure all monthly activity has been recorded and reconciled; provide financial results and analysis to financial analysts and senior management. Manage outsourced operational activity and including service level agreements and and find opportunities to outsource activities or processes to our third party service provider. Assist in preparation and review of monthly and quarterly and annual close presentations for Accounting and Controls management to include preparation of month over month and forecast to actual analysis. Provide support to finance management and other internal customers as needs arise and including ad-hoc financial analysis and and special projects. Lead and manage and develop team of professionals.,"Experience with Oracle ERP and Hyperion, Ability to work in a crossfunctional and rapidly changing environment and and to lead and drive complex initiatives, Attention to detail and organized and thorough with desire for continuous improvement"
1005,Provide analytical insight and influence business decisions and business growth and user acquisition and and efficient use of resources. Communicate key sensitivities. Build business growth and cost models for new and existing initiatives and provide a uniquely finance perspective. Inform economics and risk management of agreements and partnerships and and long-term investments. Lead and participate in projects that consist of cross-functional teams and including Finance and Engineering and Strategy and Operations teams. Keep stakeholders informed on key financial metrics; design/build/refine the necessary financial infrastructure to manage day-to-day operations. Manage and drive the development of team members by providing the appropriate level of oversight and coaching and hands on involvement in agenda setting.,"years of handson experience in core FP&A responsibilities and including forecasting and planning and financial reporting, Business partnering skills and with the ability to build relationships and operate across functional boundaries and act as a trusted translator between Product and Finance leadership, Effective analytical and problem solving skills, Organized and strategically focused and detail oriented and selfstarter and able to thrive in change and ambiguity"
1006,Google interns are given a lot of responsibility and the opportunity to provide a meaningful contribution to their teams. Specific responsibilities are assigned to interns at the start of the program.,"Interpersonal and organizational skills and with the ability to navigate an ambiguous environment, Interest in the technology industry and Google’s business"
1007,Manage Payment Compliance Licensing and Reporting for a range of US state licenses allowing Google to transact all across the world and including the preparation of License applications and regulatory filings. Provide regulatory and compliance related advice to business partners for existing products and new product launches. Manage regulatory audits by coordinating with various cross-functional teams (This includes audit preparation and remediation and documentation.) Monitor changes in industry regulations globally and modify policies and procedures as necessary by interfacing with multiple functional areas to develop and implement scalable compliance systems and controls including Engineering and Legal and Operations and Finance and Product Management. Maintain records and provide reporting to regulatory agencies as required by law and to banking partners as required by contract. Report to the service manager and senior executives and Board of Directors on the state of our compliance efforts.,Experience with various international regulatory payments laws and guidance such as those monitored by US state regulators
1008,Design and maintain effective internal control environment to ensure accuracy of financial accounts. Deliver accurate and timely financial statements for our regulated payments entities and Consumer Payments products. Identify potential areas of risk and document risk mitigation plans. Review and approve monthly journal entries and corresponding reconciliations. Prepare for and and assist with internal and SOX and external audits. Document processes and ensure performance of key controls and and obtain/provide support as necessary.,"Ability to develop appropriate levels of controls, Ability to influence and interact with stakeholders at all levels, Excellent analytical and communication and leadership skills"
1009,Identify and call attention to financial and operational and compliance and and reputational risks through assurance and consulting and and solutions management activity; improving the effectiveness of Alphabet’s governance and risk management and and internal control activities. Lead the development of the long-term Internal Audit strategy in a key business process or product subject matter area (e.g Ads and Infrastructure and Corporate Functions) with out-of-the-box and innovative thinking and willingness to push the boundaries of the traditional audit approach. Manage Internal Audit projects including performance of risk assessments and financial and compliance and operational process reviews and review of system implementations and applications and business resilience review and technology governance and and other IT-related risk areas across Alphabet and Google. Manage and lead a team of IT auditors and including goal-setting and performance management and professional development and career development. Prioritize initiatives and determine resource needs to meet assigned initiatives within budget. Prepare audit reports to document audit scope and procedures and findings and recommendations; interpret the significance of audit findings and conclude on findings and make practical recommendations for remediation.,"CISA/CISSP/PMP/CIA/CPA/CFE or related experience, Leadership skills (ability to take charge and confidence to interact with all levels and set objectives and drive results and and a team player)"
1010,Drive compliance with global Sarbanes-Oxley (SOX) programs; coordinate with business process owners and control owners to run SOX program and ensure global compliance. Evaluate control deficiencies and track remediation to completion; identify key Internal Control Over Financial Reporting (ICFR) risks and mitigation strategies. Assess training needs and develop training materials and ensure stakeholders are sufficiently trained on internal control requirements and design and ownership. Work with Finance management to frame leadership and Audit Committee agendas and ensure all action items are resolved. Work closely with the Director of Finance Compliance to facilitate cross-functional coordination across various project plans and ensure that the scope and direction of each project is on schedule.,"CPA certification, years of relevant work experience within U.S. public companies, years of relevant work experience in public accounting and a corporate internal accounting department or within a related industry"
1011,Manage all aspects of residual payment needs and day to day operations including but not limited to creation of models and claims management and entry of data into rights management systems and coordination with payroll and responding to inquiries from both internal and external partners. Manage workflow for residuals payment and reporting obligations for YouTube Originals. Create recommendations regarding how to create scalability and efficiency in residual management. Represent the residuals needs internally and proactively engage cross functional teams including production and business affairs and finance and accounting. Create one-off analysis and projects as they arise and including financial estimates and forecasts and other analytical based presentations.,"Experience in reading and interpreting contracts, Ability to work on all aspects of residual needs from communication to data entry, Excellent presentation/presentation creation skills and with strong analytical and spreadsheet skills, Excellent strategic communication and crossfunctional coordination skills and with the ability to tailor messages to suit a variety of audiences"
1012,Google interns are given a lot of responsibility and the opportunity to make a meaningful contribution to their teams. Specific responsibilities are assigned to interns at the start of the program.,"Interest in the Internet and Google's technology business, Effective interpersonal and organizational skills and with the ability to navigate an ambiguous environment, Analytical skills and an interest in taking on business challenges"
1013,Partner with key stakeholders to evaluate complex payroll processes and identify opportunities for improvement. Provide input into the roadmap and strategy for future process re-engineering efforts Help create and review functional specifications and user stories and and/or process flow diagrams to articulate required changes to systems and and interfaces Create and execute test plans with key business stakeholders and to ensure completeness and reliability of the solution. Communicate project updates to key stakeholders and management effectively Create user guides and other training documentation to educate users on the new process and/or systems changes. Provide ongoing support to the business during launch and stabilization periods Troubleshoot issues and work with the appropriate parties (Engineering and Vendors and internal stakeholders) to prioritize their resolution,Proven track record of having analytical and problem solving skills
1014,Partner with Supply Chain team to build transparency into and evaluate and and make recommendations on all areas impacting costs of goods sold: short and long-term projections and investment strategies and cost and margin structure optimization Support Supply Chain teams in agreement negotiations and third-party partner management and including manufacturing and logistics operations Support monthly and quarterly and annual financial processes and including annual planning and compliance and and management reporting; drive visibility into business performance and resource planning decisions Manage and develop a team of dedicated professionals. Drive professional development of your team members by providing significant opportunities and coaching on how to effectively support senior business partners and enable them to excel in the global Finance organization.,"Specific knowledge and experience of working with supply chains and retailers and and consumer hardware, Strong business partnering skills, Proven ability to work in a crossfunctional and fastpaced environment and and to lead and drive complex operational initiatives"
1015,Manage journal entries and General Ledger account analysis and reconciliations. Analyze financial information and prepare financial reports. Manage and improve efficiencies for various operational tasks including the following: procurement process (i.e. and inventory and fixed assets and prepayments) and vendor invoice processing and accruals and and various reserves (i.e. and inventory reserve and warranty reserve). Interpret various terms in the agreement to determine accounting implications and apply accounting guidance. Prepare ad-hoc reports and participate in special projects as necessary.,"Demonstrated ability to work in a crossfunctional and fastpaced environment and and to lead and drive complex initiatives, Excellent communication and organizational skills and with exceptional attention to detail"
1016,Be responsible for overseeing the annual statutory financial statements process and including management of the external audit and tax compliance for a portfolio of Alphabet entities in EMEA. Perform regular in-depth analysis on the financials and ensuring the integrity and financial accuracy of our books and records. Manage the delivery of accounting processes performed by external vendors ensuring that all service levels are met and the internal control environment is robust and a quality service is provided. Represent Accounting and Finance with our business partners through effective communication with in-country business managers and Technical Accounting and Tax and Treasury and Legal and Regulatory Compliance and Internal Audit and Financial Planning. Develop in-depth knowledge of tools and applications in support of the accounting function and highlight opportunities for improvement and managing projects that will yield efficiency through automation and optimization and outsourcing.,"Industry and MNC experience, A solid understanding of accounting principles and including US GAAP and related international accounting standards. Technical accounting or Tax Compliance experience, Knowledge of Oracle or similar ERP system"
1017,Google interns are given a lot of responsibility and the opportunity to give a meaningful contribution to their teams. Specific responsibilities are assigned to interns at the start of the program.,"Interest in the technology industry and Google’s business, Demonstrated critical thinking skills and independent motivation"
1018,Lead the development and execution of the annual risk assessment and long-term IA strategy in the IT infrastructure (Hardware and Software and etc.) area with out-of-the-box and innovative thinking and willingness to push the boundaries of the traditional audit approach. Manage projects and including SOX audits and business resilience review and technology governance and technology infrastructure and other IT-related risk areas. Perform risk assessments and prioritize initiatives and determine resource needs. Manage and lead a team of IT auditors and including goal-setting and performance management and professional development and career development. Work in cross-functional teams (including engineering and compliance and product management) to help create integrated system requirements and provide IT controls expertise. Work with management and users to translate audit findings into high-level insights and conclude on findings and make practical recommendations. Communicate with and educate process owners on the importance of controls and an effective control environment and and the role of Internal Audit.,"CISA and CISSP and CIA and ITIL or related experience, Leadership skills (ability to take charge and confidence to interact with all levels and set objectives and drive results and and a team player) and excellent communication and interpersonal skills with the ability to work with a wide variety of departments"
1019,Design and maintain an effective internal control environment for financial records and including ensuring accuracy of financial accounts and information related to Google Cloud. Ensure risk assessment and control frameworks are in place and and running effectively and efficiently. Drive compliance with global Sarbanes-Oxley (SOX) program for cloud finance including scoping and timing and execution. Be responsible for creation and/or maintenance of internal control narratives and flowcharts and matrices for cloud finance. Evaluate control deficiencies and track remediation to completion. Identify key Internal Control Over Financial Reporting (ICFR) risks and mitigation strategies. Design and execute control testing to address audit assertions. Interpret the significance of control audit findings and draw analytical conclusions from audit data and and promote recommendations.,"CPA/CA/CIA or related experience, years of experience in SOX and internal audit, Experience with quote to cash process for high tech companies, Leadership skills (i.e. ability to take charge and confidence to interact with all levels and set objectives and drive results and and a team player), Precise and detailoriented organization and skills; and excellent writing and communication and interpersonal skills with the ability to work with a wide variety of departments"
